22-07-11 11:18:08.934 : Total parameters: 56.71
22-07-11 12:24:17.549 : Epoch[40/2000], Step[100/275], loss: 0.077, PSNR: 19.68
22-07-11 12:24:48.419 : Epoch[40/2000], Step[200/275], loss: 0.068, PSNR: 20.73
22-07-11 12:25:12.327 : Epoch[41/2000], Step[0/275], loss: 0.057, PSNR: 22.16
22-07-11 12:25:43.308 : Epoch[41/2000], Step[100/275], loss: 0.061, PSNR: 21.76
22-07-11 12:26:14.121 : Epoch[41/2000], Step[200/275], loss: 0.062, PSNR: 21.51
22-07-11 12:26:38.441 : Epoch[42/2000], Step[0/275], loss: 0.061, PSNR: 21.67
22-07-11 12:27:09.240 : Epoch[42/2000], Step[100/275], loss: 0.068, PSNR: 20.80
22-07-11 12:27:39.957 : Epoch[42/2000], Step[200/275], loss: 0.061, PSNR: 21.52
22-07-11 12:28:04.283 : Epoch[43/2000], Step[0/275], loss: 0.346, PSNR: 10.40
22-07-11 12:28:35.063 : Epoch[43/2000], Step[100/275], loss: 0.070, PSNR: 20.74
22-07-11 12:29:05.817 : Epoch[43/2000], Step[200/275], loss: 0.068, PSNR: 21.01
22-07-11 12:29:30.027 : Epoch[44/2000], Step[0/275], loss: 0.071, PSNR: 20.56
22-07-11 12:30:00.821 : Epoch[44/2000], Step[100/275], loss: 0.070, PSNR: 20.72
22-07-11 12:30:31.686 : Epoch[44/2000], Step[200/275], loss: 0.059, PSNR: 21.82
22-07-11 12:30:55.635 : Epoch[45/2000], Step[0/275], loss: 0.072, PSNR: 20.60
22-07-11 12:31:26.456 : Epoch[45/2000], Step[100/275], loss: 0.305, PSNR: 11.59
22-07-11 12:31:57.357 : Epoch[45/2000], Step[200/275], loss: 0.084, PSNR: 19.54
22-07-11 12:32:21.679 : Epoch[46/2000], Step[0/275], loss: 0.063, PSNR: 21.29
22-07-11 12:32:52.530 : Epoch[46/2000], Step[100/275], loss: 0.051, PSNR: 23.00
22-07-11 12:33:23.370 : Epoch[46/2000], Step[200/275], loss: 0.060, PSNR: 21.97
22-07-11 12:33:47.252 : Epoch[47/2000], Step[0/275], loss: 0.061, PSNR: 21.64
22-07-11 12:34:18.346 : Epoch[47/2000], Step[100/275], loss: 0.053, PSNR: 22.75
22-07-11 12:34:49.151 : Epoch[47/2000], Step[200/275], loss: 0.107, PSNR: 17.22
22-07-11 12:35:13.385 : Epoch[48/2000], Step[0/275], loss: 0.065, PSNR: 21.22
22-07-11 12:35:44.222 : Epoch[48/2000], Step[100/275], loss: 0.055, PSNR: 22.47
22-07-11 12:36:15.076 : Epoch[48/2000], Step[200/275], loss: 0.048, PSNR: 23.33
22-07-11 12:36:39.358 : Epoch[49/2000], Step[0/275], loss: 0.051, PSNR: 23.10
22-07-11 12:37:10.251 : Epoch[49/2000], Step[100/275], loss: 0.055, PSNR: 22.61
22-07-11 12:37:41.131 : Epoch[49/2000], Step[200/275], loss: 0.589, PSNR: 10.35
22-07-11 12:38:05.303 : Epoch[50/2000], Step[0/275], loss: 0.129, PSNR: 16.16
22-07-11 12:38:36.165 : Epoch[50/2000], Step[100/275], loss: 0.082, PSNR: 19.05
22-07-11 12:39:06.966 : Epoch[50/2000], Step[200/275], loss: 0.066, PSNR: 20.98
22-07-11 12:39:31.333 : Epoch[51/2000], Step[0/275], loss: 0.062, PSNR: 21.47
22-07-11 12:40:02.212 : Epoch[51/2000], Step[100/275], loss: 0.062, PSNR: 21.78
22-07-11 12:40:33.068 : Epoch[51/2000], Step[200/275], loss: 0.049, PSNR: 23.32
22-07-11 12:40:57.573 : Epoch[52/2000], Step[0/275], loss: 0.055, PSNR: 22.80
22-07-11 12:41:28.554 : Epoch[52/2000], Step[100/275], loss: 0.043, PSNR: 24.64
22-07-11 12:41:59.358 : Epoch[52/2000], Step[200/275], loss: 0.047, PSNR: 24.19
22-07-11 12:42:23.643 : Epoch[53/2000], Step[0/275], loss: 0.039, PSNR: 25.24
22-07-11 12:42:54.506 : Epoch[53/2000], Step[100/275], loss: 0.039, PSNR: 25.54
22-07-11 12:43:25.294 : Epoch[53/2000], Step[200/275], loss: 0.076, PSNR: 19.80
22-07-11 12:43:49.545 : Epoch[54/2000], Step[0/275], loss: 0.050, PSNR: 22.97
22-07-11 12:44:20.413 : Epoch[54/2000], Step[100/275], loss: 0.049, PSNR: 23.62
22-07-11 12:44:51.299 : Epoch[54/2000], Step[200/275], loss: 0.039, PSNR: 25.25
22-07-11 12:45:15.436 : Epoch[55/2000], Step[0/275], loss: 0.036, PSNR: 25.97
22-07-11 12:45:46.304 : Epoch[55/2000], Step[100/275], loss: 0.032, PSNR: 26.59
22-07-11 12:46:17.162 : Epoch[55/2000], Step[200/275], loss: 0.037, PSNR: 25.68
22-07-11 12:46:41.228 : Epoch[56/2000], Step[0/275], loss: 0.038, PSNR: 25.39
22-07-11 12:47:12.099 : Epoch[56/2000], Step[100/275], loss: 0.052, PSNR: 23.16
22-07-11 12:47:42.835 : Epoch[56/2000], Step[200/275], loss: 0.042, PSNR: 24.56
22-07-11 12:48:07.098 : Epoch[57/2000], Step[0/275], loss: 0.039, PSNR: 25.36
22-07-11 12:48:37.909 : Epoch[57/2000], Step[100/275], loss: 0.036, PSNR: 25.68
22-07-11 12:49:08.575 : Epoch[57/2000], Step[200/275], loss: 0.036, PSNR: 26.06
22-07-11 12:49:33.236 : Epoch[58/2000], Step[0/275], loss: 0.038, PSNR: 25.73
22-07-11 12:50:04.208 : Epoch[58/2000], Step[100/275], loss: 0.053, PSNR: 22.58
22-07-11 12:50:34.966 : Epoch[58/2000], Step[200/275], loss: 0.052, PSNR: 23.52
22-07-11 12:50:59.066 : Epoch[59/2000], Step[0/275], loss: 0.037, PSNR: 25.46
22-07-11 12:51:29.830 : Epoch[59/2000], Step[100/275], loss: 0.044, PSNR: 24.62
22-07-11 12:52:00.595 : Epoch[59/2000], Step[200/275], loss: 0.037, PSNR: 25.42
22-07-11 12:52:24.697 : Epoch[60/2000], Step[0/275], loss: 0.040, PSNR: 25.37
22-07-11 12:52:55.537 : Epoch[60/2000], Step[100/275], loss: 0.042, PSNR: 24.72
22-07-11 12:53:26.304 : Epoch[60/2000], Step[200/275], loss: 0.236, PSNR: 12.73
22-07-11 12:53:50.286 : Epoch[61/2000], Step[0/275], loss: 0.044, PSNR: 24.31
22-07-11 12:54:21.222 : Epoch[61/2000], Step[100/275], loss: 0.036, PSNR: 25.88
22-07-11 12:54:52.107 : Epoch[61/2000], Step[200/275], loss: 0.036, PSNR: 25.93
22-07-11 12:55:16.228 : Epoch[62/2000], Step[0/275], loss: 0.040, PSNR: 25.17
22-07-11 12:55:47.144 : Epoch[62/2000], Step[100/275], loss: 0.036, PSNR: 25.93
22-07-11 12:56:17.994 : Epoch[62/2000], Step[200/275], loss: 0.033, PSNR: 26.26
22-07-11 12:56:42.051 : Epoch[63/2000], Step[0/275], loss: 0.035, PSNR: 26.23
22-07-11 12:57:12.908 : Epoch[63/2000], Step[100/275], loss: 0.110, PSNR: 17.86
22-07-11 12:57:43.670 : Epoch[63/2000], Step[200/275], loss: 0.040, PSNR: 24.63
22-07-11 12:58:07.871 : Epoch[64/2000], Step[0/275], loss: 0.037, PSNR: 26.01
22-07-11 12:58:38.754 : Epoch[64/2000], Step[100/275], loss: 0.032, PSNR: 26.78
22-07-11 12:59:09.580 : Epoch[64/2000], Step[200/275], loss: 0.034, PSNR: 26.24
22-07-11 12:59:34.246 : Epoch[65/2000], Step[0/275], loss: 0.030, PSNR: 27.37
22-07-11 13:00:05.128 : Epoch[65/2000], Step[100/275], loss: 0.038, PSNR: 25.60
22-07-11 13:00:35.900 : Epoch[65/2000], Step[200/275], loss: 0.032, PSNR: 26.88
22-07-11 13:01:00.204 : Epoch[66/2000], Step[0/275], loss: 0.033, PSNR: 26.59
22-07-11 13:01:31.060 : Epoch[66/2000], Step[100/275], loss: 0.065, PSNR: 21.55
22-07-11 13:02:01.840 : Epoch[66/2000], Step[200/275], loss: 0.031, PSNR: 26.95
22-07-11 13:02:25.914 : Epoch[67/2000], Step[0/275], loss: 0.030, PSNR: 27.19
22-07-11 13:02:56.796 : Epoch[67/2000], Step[100/275], loss: 0.031, PSNR: 27.26
22-07-11 13:03:27.541 : Epoch[67/2000], Step[200/275], loss: 0.032, PSNR: 26.92
22-07-11 13:03:51.840 : Epoch[68/2000], Step[0/275], loss: 0.034, PSNR: 26.25
22-07-11 13:04:22.769 : Epoch[68/2000], Step[100/275], loss: 0.030, PSNR: 27.09
22-07-11 13:04:53.806 : Epoch[68/2000], Step[200/275], loss: 0.040, PSNR: 24.64
22-07-11 13:05:18.088 : Epoch[69/2000], Step[0/275], loss: 0.033, PSNR: 26.62
22-07-11 13:05:49.083 : Epoch[69/2000], Step[100/275], loss: 0.029, PSNR: 27.62
22-07-11 13:06:19.840 : Epoch[69/2000], Step[200/275], loss: 0.034, PSNR: 26.59
22-07-11 13:06:44.157 : Epoch[70/2000], Step[0/275], loss: 0.030, PSNR: 27.52
22-07-11 13:07:15.083 : Epoch[70/2000], Step[100/275], loss: 0.030, PSNR: 27.67
22-07-11 13:07:45.903 : Epoch[70/2000], Step[200/275], loss: 0.030, PSNR: 27.23
22-07-11 13:08:10.061 : Epoch[71/2000], Step[0/275], loss: 0.031, PSNR: 27.23
